City, Nominatim_Lat, Nominatim_Lon, Nominatim_ping_ms, Google_Lat, Google_Lon, Google_ping_ms, MapQuest_Lat, MapQuest_Lon, MapQuest_ping_ms, Here_Lat, Here_Lon, Here_ping_ms, OpenCage_Lat, OpenCage_Lon, OpenCage_ping_ms
Guangzhou, 23.1229013, 113.2529963, 546, 23.129163, 113.264435, 865, 23.122901, 113.252996, 666, 23.12947, 113.26336, 513, 23.1229013, 113.2529963, 254
Basra, 30.502804, 47.8342226, 584, 30.5, 47.816667, 664, 30.502804, 47.834223, 750, 49424, 47.81869, 398, 30.502804, 47.8342226, 117
Kiev, 50.4499875, 30.5234937, 800, 50.4501, 30.5234, 468, 50.449988, 30.523494, 628, 50.45058, 30.52428, 343, 50.4499875, 30.5234937, 131
Namazga-Tepe, NA, NA, 457, NA, NA, 441, NA, NA, 742, 40.83498, 71.4934769, 372, NA, NA, 743
Arbil, 36.3762956, 44.1654563566789, 688, 36.191111, 44.009167, 543, 36.376296, 44.165456, 1, 36.19106, 44.01214, 370, 36.37662015, 44.1661820118, 521
Paris, 48.8565056, 2.3521334, 660, 48.856614, 2.3522219, 917, 48.856506, 2.352133, 880, 48.85693, 2.3412, 406, 48.8565056, 2.3521334, 273
Nekhen, 25.116667, 32.7, 584, NA, NA, 571, 25.116667, 32.7, 828, 29.9531498, 33.8019981, 497, 25.116667, 32.7, 844
Eridu, 30.3018747, -83.7471001, 518, 30.8172541, 45.9960222, 845, 30.301875, -83.7471, 640, 30.30204, -83.74637, 366, 30.3018747, -83.7471001, 23
Nishapur, 36.209834, 58.7927684, 479, 36.213333, 58.795833, 528, 36.209834, 58.792768, 572, 36.22488, 58.78229, 409, 36.209834, 58.7927684, 777
Polatsk, 55.4857019, 28.7762951, 605, 55.4831573, 28.7990619, 608, 55.485702, 28.776295, 807, 37.7812309, 38.2916603, 353, 55.4857019, 28.7762951, 942
Gaziantep, 36.9666307, 37.4074178, 568, 37.06622, 37.38332, 505, 36.966631, 37.407418, 590, 37.06249, 37.37517, 549, 36.9666307, 37.4074178, 892
Xintian, 30.2, 118.254167, 587, 25.906574, 112.221573, 493, 23.184447, 115.549659, 440, 19.75232, 110.15037, 818, 23.184447, 115.549659, 868
Haojing, 22.0753826, 113.3791846, 642, 22.3842481, 113.3271155, 498, 22.075383, 113.379185, 729, 31.53267, 120.98671, 557, 22.0753826, 113.3791846, 767
Hastinapur, 19.0422061, 72.9258681, 656, 29.1568812, 77.9938497, 582, NA, NA, 588, 29.15537, 77.98874, 698, 19.0422061, 72.9258681, 933
Copán, 54.645833, -8.030556, 680, 36.8975794, -95.9260927, 152, 54.645833, -8.030556, 733, 36.89717, -95.92591, 303, 54.645833, -8.030556, 259
Liverpool, 53.4054719, -2.9805393, 598, 53.4083714, -2.9915726, 963, 53.405472, -2.980539, 567, 53.4101, -2.97844, 588, 53.4054719, -2.9805393, 276
